denominazione,tipologia,ente,tip_amministrativa,indirizzo,frazione,cap,telefono,fax,email,sito_web,Latitudine,Longitudine
Biblioteca dell'Istituto di patologia speciale e clinica chirurgica veterinaria della Facoltà di medicina veterinaria dell'Università di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di medicina veterinaria. Istituto di patologia speciale e clinica chirurgica veterinaria,Universita' statali,Via S. Cecilia 30,,98123.0,+39 0902937241,,,,38.1796136,15.5581577
Biblioteca dell'Istituto di zootecnica della Facoltà di medicina veterinaria dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di medicina veterinaria. Istituto di zootecnica,Universita' statali,Via S. Cecilia 30,,98123.0,+39 0902933970,,,,38.1796136,15.5581577
Biblioteca del Dipartimento di biologia animale ed ecologia marina dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Dipartimento di biologia animale ed ecologia marina,Universita' statali,Contrada Papardo - Salita Sperone 31,Sant'Agata,98166.0,+39 090392721,+39 090393409,,,38.2664084,15.6011361
Biblioteca del Dipartimento di fisica generale dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Dipartimento di fisica generale,Universita' statali,Contrada Papardo - Salita Sperone 31,Sant'Agata,98166.0,+39 090391664,+39 090601007,,,38.2664084,15.6011361
"Biblioteca dell'Istituto di botanica della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Messina",Istituto di insegnamento superiore,"Università degli studi di Messina. Facoltà di scienze matematiche, fisiche e naturali. Istituto di botanica",Universita' statali,Contrada Papardo - Salita Sperone 31,Sant'Agata,98166.0,+39 090391940,+39 090392686,,,38.2664084,15.6011361
"Biblioteca dell'Istituto di fisiologia generale della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Messina",Istituto di insegnamento superiore,"Università degli studi di Messina. Facoltà di scienze matematiche, fisiche e naturali. Istituto di fisiologia generale",Universita' statali,Contrada Papardo - Salita Sperone 31,Sant'Agata,98166.0,+39 090393979,,,,38.2664084,15.6011361
"Biblioteca dell'Istituto policattedra di microbiologia della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Messina",Istituto di insegnamento superiore,"Università degli studi di Messina. Facoltà di scienze matematiche, fisiche e naturali. Istituto policattedra di microbiologia",Universita' statali,Contrada Papardo - Salita Sperone 31,Sant'Agata,98166.0,+39 090393481,,,,38.2664084,15.6011361
Biblioteca dell'Istituto sperimentale talassografico. CNR,Specializzata,Consiglio nazionale delle ricerche - CNR IAMC - Messina,Presidenza del consiglio dei ministri e ministeri,Spianata San Raineri 86,,98122.0,+39 090669003,+39  090669007,alessandro.cosenza@iamc.cnr.it,http://www.cnr.it/istituti/BibliotechePerIst.html?cds=002,38.1923323,15.5555232
Biblioteca del Centro servizi generali della Facoltà di scienze politiche dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di scienze politiche,Universita' statali,Via T. Cannizzaro 9 Is. 224,,98122.0,+39 0902939562,+39 090692859,,,38.1904855,15.54837
Biblioteca dell'Istituto di studi internazionali e comunitari della Facoltà di scienze politiche dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di scienze politiche. Istituto di studi internazionali e comunitari,Universita' statali,Via N. Bixio 9,,98137.0,+39 0902931038,+39 0902924448,,,38.1818012,15.5552569
Biblioteca dell'Istituto di scienze giuridiche della Facoltà di scienze politiche dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di scienze politiche. Istituto di scienze giuridiche,Universita' statali,Via T. Cannizzaro 9,,98122.0,+39 0902935405,+39 0902930985,,,38.1886558,15.5529388
Biblioteca dell'Istituto di storia della Facoltà di scienze politiche dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di scienze politiche. Istituto di storia,Universita' statali,Via T. Cannizzaro 9/ is. 224,,98122.0,+39 0902925406,,,,38.1904855,15.54837
Biblioteca dell'Istituto di storia del diritto e delle istituzioni della Facoltà di scienze politiche dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di scienze politiche. Istituto di storia del diritto e delle istuzioni,Universita' statali,Via S. Cecilia 82/c is. 116,,98122.0,+39 0902927718,,,,38.1813479,15.5550077
Biblioteca del Dipartimento di studi politici e sociali V. Tomeo dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Dipartimento di studi politici e sociali.V. Tomeo,Universita' statali,Via T. Cannizzaro 9,,98122.0,+39 0902928116,+39 0902923853,,,38.1886558,15.5529388
Biblioteca parrocchiale Monsignor Giuseppe Zappalà,Pubblica,Parrocchia di S. Maria del Carmelo,Enti ecclesiastici,Piazza duomo,,98076.0,+39 0941701136,,,,38.0681203,14.6335128
Biblioteca parrocchiale S. Nicolò,Pubblica,Parrocchia di S. Nicolò,Enti ecclesiastici,Piazza Immacolata 12,Venetico Superiore,98040.0,+39 0909977032,,,,38.1919247,15.3815816
Biblioteca delle Francescane missionarie di Maria,Pubblica,Francescane missionarie di Maria. Casa Divina Provvidenza di Taormina,Enti ecclesiastici,Via Bagnoli Croce 128,,98039.0,+39 094223844,,,,37.850512,15.291989
Biblioteca comunale,Pubblica,Comune di Tortorici,Comune,Via Garibaldi 10,,98078.0,+39 0941430007,,,,,
Biblioteca del Convento dei frati minori di S. Maria di Porto Salvo,Pubblica,Frati minori OFM. Convento di S. Maria di Porto Salvo di Messina,Enti ecclesiastici,Via Porto Salvo 4/a,,98121.0,+39 09043058,,,,38.2041289,15.5597444
Biblioteca dell'Associazione polisportiva Pompei,Pubblica,Associazione culturale polisportiva Pompei,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Via S. Liberale 14,,98100.0,+39 09053513,,,,38.2009635,15.5563605
Biblioteca Il Risveglio,Pubblica,Associazione Valle degli Angeli,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Catania 469,,98124.0,+39 090692487,,,,38.1698296,15.5418054
Biblioteca della Federazione italiana scuole materne,Specializzata,Federazione italiana scuole materne,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Brescia 7,,98124.0,+39 0902927649,,,,38.1795242,15.5480418
Biblioteca del Centro studi e servizio documentazione per la cooperazione e l'educazione allo sviluppo,Pubblica,UNICEF. Comitato siciliano,Organizzazioni internazionali,Via Garibaldi 124,,98124.0,+39 09043804,+39 09043804,,,38.1951523,15.5571696
Biblioteca parrocchiale S. Luca Evangelista,Pubblica,Parrocchia di Maria SS. degli Angeli,Enti ecclesiastici,Via Parlato 1,,98070.0,+39 092136010,,,,37.9814383,14.30421
Biblioteca LAM,Pubblica,Lega antidroga messinese,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Viale Giostra Is 483 16/17,,98100.0,+39 090363215,,,,38.2061108,15.5599677
Biblioteca comunale,Pubblica,Comune di Torrenova,Comune,Via B. Caputo,,98070.0,+39 0941785060,,,,38.091986,14.676625
Biblioteca S. Giovanni Bosco,Pubblica,Figlie di Maria Ausiliatrice. Istituto femminile S. Giovanni Bosco di Messina,Enti ecclesiastici,Via Brescia 5,,98124.0,+39 0902932163,+39 0902934171,,,38.17926,15.5485169
Biblioteca dell'Associazione socio-culturale S. Maria delle Grazie,Pubblica,Associazione socio-culturale S. Maria delle Grazie,"Accademie, associazioni, fondazioni, istituti (pubblici)",Piazza canonica,Bordonaro,98011.0,+39 090688749,,,,38.17551,15.5143
Biblioteca del Centro regionale di servizio culturale per non vedenti,Pubblica,Regione siciliana. Centro regionale di servizio culturale per non vedenti,Regione,Via S. Cecilia 115/98,,98123.0,+39 090692490,,,,38.1832522,15.5513069
Biblioteca del CRAL dell'Istituto nazionale della previdenza sociale,Pubblica,Istituto nazionale della previdenza sociale,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Via Romagnosi 9,,98100.0,+39 09043630,,,,38.1962895,15.5548881
Biblioteca Giuseppe Verdi,Pubblica,Associazione culturale musicale G. Verdi,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Trieste 12,,98071.0,+39 0941902796,,,,38.1621266,14.7477031
Biblioteca del Santuario Ecce Homo,Pubblica,Terz'Ordine regolare di S. Francesco. Santuario Ecce Homo di Calvaruso di Villafranca Tirrena,Enti ecclesiastici,,Calvaruso,98040.0,+39 090332338,,,,38.2360674,15.4325592
Biblioteca del Museo regionale,Specializzata,Regione siciliana,Regione,Via principessa Mafalda 5,,98111.0,+39 090343897,,,,38.211085,15.56039
Biblioteca comunale,Pubblica,Comune di Ali' Terme,Comune,Via  F. Crispi,,98021.0,+39 0942715044,,,,38.0042568,15.423174
Biblioteca comunale Salvatore Pugliatti,Pubblica,Comune di Pace del Mela,Comune,Piazza Maria SS. della Visitazione 5,,98042.0,+39 090933085,+39 090933135,,,38.173398,15.309009
Biblioteca dell'Istituto superiore di scienze umane e religiose,Pubblica,Istituto superiore di scienze umane e religiose di Messina,Enti ecclesiastici,Via Ignatianum 23,,98121.0,+39 090346454,,,,38.2060831,15.5515439
Biblioteca Vivian,Pubblica,Cooperativa servizi sociali Vivian,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Roma 282,,98051.0,+39 0909799572,+39 0909799572,,,38.1410748,15.2186375
Biblioteca comunale S. Agostino,Importante non specializzata,Comune di Taormina,Comune,Piazza IX aprile 3/4,,98039.0,+39 0942610206,,,,37.851589,15.285749
Biblioteca comunale Tommaso Cannizzaro,Importante non specializzata,Comune di Messina,Comune,Via Catania 26,,98100.0,+39 0902921005,,,,38.1796475,15.54729
Biblioteca parrocchiale Maria SS. Assunta,Pubblica,Parrocchia di Maria SS. Assunta,Enti ecclesiastici,Via collegio,,98079.0,+39 092130547,,,,37.9848156,14.2391619
Biblioteca comunale,Pubblica,Comune di Raccuia,Comune,Via Roma,,98067.0,+39 0941663049,,,,38.054993,14.908609
Biblioteca Ettore Maiorana della Corda Fratres,Pubblica,Associazione culturale Corda Fratres,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Dante 15,,98051.0,+39 0909702282,,,,,
Biblioteca di musica della Filarmonica Antonio Laudamo,Specializzata,Filarmonica Antonio Laudamo,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Ghibellina 48,,98100.0,+39 090710929,+39 090672974,,,38.1883201,15.5547329
Biblioteca del Circolo culturale Salvatore Quasimodo,Pubblica,Circolo culturale Salvatore Quasimodo,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Bagni,Santa Margherita,98135.0,+39 090630140,,,,38.1124834,15.1695527
Biblioteca del Seminario vescovile,Pubblica,Seminario vescovile di Santa Lucia del Mela,Enti ecclesiastici,Via seminario 115,,98046.0,+39 090935069,,,,38.1398131,15.2829914
Biblioteca comunale Nannino Di Giovanni,Importante non specializzata,Comune di Barcellona Pozzo di Gotto,Comune,Via Regina Margherita 28,,98051.0,+39 0909790303,,biblioteca@comune.barcellona-pozzo-di-gotto.me.it,http://www.comune.barcellona-pozzo-di-gotto.me.it,38.1433796,15.2150814
Biblioteca del Centro di solidarietà Faro,Pubblica,Centro di solidarietà Faro,Privati - Famiglie,Via Chiesa dei marinai,,98127.0,+39 090362834,+39 090344695,,,38.202235,15.554665
Biblioteca comunale Tommaso Cannizzaro. Sezione staccata del IX quartiere San Leone,Pubblica,Comune di Messina,Comune,Viale della Libertà 18,,98100.0,+39 09052936,,,,38.2088007,15.5611213
Biblioteca del Dipartimento di medicina interna dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Dipartimento di medicina interna,Universita' statali,Via consolare Valeria 78,,98125.0,+39 0902212360,,,,38.1484289,15.5296457
"Biblioteca dell'Istituto di scienze economiche, sociali e finanziarie della Facoltà di economia e commercio dell'Università degli studi di Messina",Istituto di insegnamento superiore,"Università degli studi di Messina. Facoltà di economia e commercio. Istituto di scienze economiche, sociali e finanziarie",Universita' statali,Via dei verdi,,98122.0,+39 090672402,,,,38.1894302,15.5544531
Biblioteca della Facoltà di ingegneria dell'Università degli studi di Messina,Istituto di insegnamento superiore,Università degli studi di Messina. Facoltà di ingegneria,Universita' statali,Contrada Papardo - Salita Sperone - Sant'Agata,,98166.0,+39 0906765311,+39 090392293,,,38.2664084,15.6011361
Biblioteca dell' Istituto d'istruzione secondaria superiore Luigi Valli,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,Via degli studi 62,,98051.0,+39 0909791205,,mepc04001@istruzione.it,http://www.isvalli.it/?l=it,38.1437601,15.2194932
Biblioteca dell'Istituto d'istruzione secondaria superiore G. Minutoli,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,Via Evemero da Messina,,98147.0,+39 090685800,+39 090686195,metl01000e@istruzione.it,,38.1709175,15.5299838
Biblioteca Paola Minutoli del Liceo classico statale G. La Farina,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,via Oratorio della Pace 5,,98122.0,+39 09053037,,bibliopaolaminutoli@libero.it,,38.1953612,15.5539154
Biblioteca Gaspare Caliri dell'Istituto Tecnico Commerciale e per Geometri Enrico Fermi,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,Via Pitagora 42,,98051.0,+39 0909798024,+39 0909798059,metd08000a@istruzione.it,,38.1417137,15.2161865
Biblioteca Foscolo dell'Istituto comprensivo 12,NON SPECIFICATA,0,NON SPECIFICATA,"Via Palermo, 225",,98100.0,+39 09053312,,memm00800q@istruzione.it,,38.2073155,15.5516619
Biblioteca del Liceo statale Emilio Ainis,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,Via Antonello Freri,,98124.0,+39 090 2935964,+39 090 2937986,mepm010009@istruzione.it,http://www.ainis.it,38.172402173233,15.5409800814758
Biblioteca Giorgianni-Macrì del Liceo classico Maurolico,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,"Corso Cavour, 63",,98122.0,+39 090 672110,+39  090 672775,meis02900x@istruzione.it,,38.1911865,15.5527789
Biblioteca comunale G. Cafarella,Pubblica,Comune di Malfa,Comune,"via Fontana, 2",,98050.0,+39 090 984432,+39 090 9844152,biblio.malfa@virgilio.it,,38.575196,14.834822
Biblioteca G. Pascoli della Provincia Regionale di Messina,Importante non specializzata,Provincia Regionale di Messina,Regione,Corso Cavour,,98122.0,+39 090 7761329,+39 090 7761362,biblioteca@provincia.messina.it,,38.1942088,15.5545011
Biblioteca Sedes Sapientiae Parr. S. Lucia,Specializzata,Parrocchia S. Lucia di Mistretta,Enti ecclesiastici,"Piazza Unità d'Italia, 2",,98073.0,+39 0921 381136,,padregiordano@libero.it,,37.929952,14.362605
Biblioteca dell'Ente Autonomo Regionale Teatro Vittorio Emanuele,Specializzata,Teatro di Messina,"Accademie, associazioni, fondazioni, istituti (pubblici)",Via Garibaldi,,98100.0,+39 090 8966215,,lillo.bottari@alice.it,http://www.teatrovittorioemanuele.it/,38.1972122,15.5573231
Biblioteca Lucio Barbera,Pubblica,Associazione Vivere Insieme,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Via Olivarella,,98026.0,+39 340 1623236,,ulderigodiana@alice.it,,37.9953934,15.4104987000001
Biblioteca della Soprintendenza BB.CC.AA.,Specializzata,Regione siciliana,Regione,"Viale Boccetta, 38",,98122.0,+39 09036746111,,soprime.uo11@regione.sicilia.it,,38.1980882,15.5508103
"Biblioteca comunale - sezione ragazzi Oasi""""",Pubblica,Comune di Barcellona Pozzo di Gotto,Comune,Piazza S. Sebastiano,,98051.0,+39 090 9794592,+39 090 9794592,oasibarcellona@sbrmessina.it,http://www.comune.barcellona-pozzo-di-gotto.me.it,38.1456509,15.214967
Biblioteca comunale Romeo Brambilla,Importante non specializzata,Comune di Abbiategrasso,Comune,Piazza Castello,,20081.0,+39 0294692454,+39 0294692459,biblioteca@comune.abbiategrasso.mi.it,http://www.netsys.it/abbiategrasso/biblioteca,45.3987942,8.9190865
Biblioteca comunale,Importante non specializzata,Comune di Agrate Brianza,Comune,Via C. Battisti 40/a,,20041.0,+39 039650713,+39 0396051254,bibagrate@sbv.mi.it,http://www.sbv.mi.it/agrate/biblioteca,,
Biblioteca comunale,Pubblica,Comune di Aicurzio,Comune,Via Croce,,20040.0,+39 0396093015,+39 0396093045,bibaicurzio@sbv.mi.it,http://www.sbv.mi.it/aicurzio/biblioteca,45.6392102,9.4145057
Biblioteca comunale Aldo Moro,Importante non specializzata,Comune di Albiate,Comune,Via Dante Alighieri 15/a,,20042.0,+39 0362932441,+39 0362932306,bibliotecaalbiate@sbb.seregno.com,http://www.bibliotechebrianza.it,45.650364,9.255062
Biblioteca comunale,Importante non specializzata,Comune di Arconate,Comune,Via Roma 42,,20020.0,+39 0331461143,+39 0331461448,,,45.5413583,8.8512704
Biblioteca A. Alvino,Specializzata,Salesiani. Istituto salesiano. di Arese,Enti ecclesiastici,Via don F. Della Torre 2,,20020.0,+39 02937721,+39 029385144,aresecfp@tin.it,,45.5489197,9.0790203
Biblioteca comunale,Importante non specializzata,Comune di Arluno,Comune,Via Villoresi 20,,20010.0,+39 0290399316,+39 0290399232,biblioteca.arluno@tiscali.it,http://www.sbimag.it,45.5065642,8.9464784
Biblioteca comunale,Importante non specializzata,Comune di Assago,Comune,Via dei Caduti 3,,20090.0,+39 0248843216,+39 0248843216,biblioassago@tiscali.it,,45.4053372,9.1318075
Biblioteca comunale,Importante non specializzata,Comune di Barlassina,Comune,Largo Diaz 5,,20030.0,+39 0362560593,+39 0362560593,bibliotecabarlassina@sbb.seregno.com,http://www.bibliotechebrianza.it,45.658676,9.1268709
Biblioteca comunale Giuseppe Ungaretti,Pubblica,Comune di Basiano,Comune,Via Roma 11,,20060.0,+39 0295004521,+39 0295761764,bibbasiano@sbv.mi.it,http://www.sbv.mi.it/basiano/biblioteca,45.5732633,9.469281
Biblioteca comunale,Importante non specializzata,Comune di Bellinzago Lombardo,Comune,Via Papa Giovanni XXIII,,20060.0,+39 0295385001,+39 0295382876,bellinzago@bibliomilanoest.it,http://www.bibliomilanoest.it,45.540944,9.44842
Biblioteca comunale,Importante non specializzata,Comune di Bellusco,Comune,Corte dei Frati,,20040.0,+39 0396022118,+39 0396020148,bibbellusco@sbv.mi.it,http://www.sbv.mi.it/bellusco/biblioteca,45.616415,9.417435
Biblioteca comunale,Importante non specializzata,Comune di Bernareggio,Comune,Via Europa 2,,20044.0,+39 0396093960,+39 03962762311,bibbernareggio@sbv.mi.it,http://www.sbv.mi.it/bernareggio/biblioteca,45.6465882,9.4093962
Biblioteca comunale,Pubblica,Comune di Bernate Ticino,Comune,Via Roma 34,,20010.0,+39 029754456,+39 029754940,bernate@bibliocastanese.it,http://www.bibliocastanese.it,45.4812762,8.8174661
Biblioteca comunale,Pubblica,Comune di Besate,Comune,Via duca Uberto 5,,20080.0,+39 0290098165,+39 0290098006,bib.besa@netsys.it,http://www.netsys.it/abbiategrasso/biblioteca,45.3112258,8.9685946
Biblioteca comunale,Importante non specializzata,Comune di Biassono,Comune,Via S. Martino 9,,20046.0,+39 0392201036,+39 0392201076,,,45.630658,9.2747517
Biblioteca comunale,Pubblica,Comune di Boffalora Sopra Ticino,Comune,Via G. Garibaldi 20,,20010.0,+39 0297259250,+39 029755490,biblioteca.boffalora@tiscali.it,http://www.sbimag.it.E-mail,45.4689684,8.8316474
Biblioteca comunale,Importante non specializzata,Comune di Bollate,Comune,Piazza C. A. Dalla Chiesa 30,,20021.0,+39 0235005508,+39 0235005517,biblioteca.bollate@csbno.net,http://www.csbno.net,45.542977,9.1174658
Biblioteca comunale,Importante non specializzata,Comune di Briosco,Comune,Via Trieste 14,,20040.0,+39 0362958614,+39 0362958620,bibliotecabriosco@sbb.seregno.com,http://www.bibliotechebrianza.it,45.7092681,9.2360058
Biblioteca comunale,Importante non specializzata,Comune di Burago di Molgora,Comune,Piazza G. Matteotti 12,,20040.0,+39 03969903209,+39 0396080329,bibburago@sbv.mi.it,http://www.sbv.mi.it/burago/biblioteca,45.596217,9.378444
Biblioteca comunale,Pubblica,Comune di Buscate,Comune,Piazza S. Mauro 3,,20010.0,+39 0331801623,+39 0331801623,buscate@bibliocastanese.it,http://www.bibliocastanese.it,45.5449015,8.8124739
Biblioteca comunale,Pubblica,Comune di Bussero,Comune,Via Gotifredo 1,,20060.0,+39 029503511,+39 029503511,biblioteca@comune.bussero.mi.it,http://www.bibliotecabussero.it,45.5383105,9.3727514
Biblioteca comunale,Importante non specializzata,Comune di Cambiago,Comune,Via ai Campi 3,,20040.0,+39 029508095,+39 0295308072,bibcambiago@sbv.mi.it,http://www.sbv.mi.it/cambiago/biblioteca,45.5735849,9.4248084
Biblioteca comunale,Pubblica,Comune di Caponago,Comune,Via Voltolina 10,,20040.0,+39 0295743636,+39 0295969822,bibcaponago@sbv.mi.it,http://www.sbv.mi.it/caponago/biblioteca,45.566398,9.3770988
Biblioteca comunale Germano Nobili,Importante non specializzata,Comune di Carate Brianza,Comune,Via Caprotti 7,,20048.0,+39 0362987350,,bibliotecacarate@sbb.seregno.com,http://www.bibliotechebrianza.it,45.6768585,9.2379457
Biblioteca comunale,Importante non specializzata,Comune di Carnate,Comune,Via Magni 4,,20040.0,+39 039672405,+39 039670035,bibcarnate@sbv.mi.it,http://www.sbv.mi.it/carnate/biblioteca,,
Biblioteca comunale,Pubblica,Comune di Casorezzo,Comune,Via Einaudi,,20010.0,+39 029029476,+39 0290296960,siddhartha@tin.it,,45.52105,8.90093
Biblioteca tecnica Siemens,Specializzata,Siemens information communication network - ICN,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Strada statale Padana superiore Km 158,,20060.0,+39 0295266391,+39 0295266391,marinella.segat@siemens.com,,45.516984,9.351407
Biblioteca comunale,Importante non specializzata,Comune di Castano Primo,Comune,Piazza G. Mazzini 43,,20022.0,+39 0331877842,+39 0331877842,castano@bibliocastanese.it,http://www.bibliocastanese.it,45.5512127,8.7763235
Biblioteca comunale,Pubblica,Comune di Ceriano Laghetto,Comune,Via Roma 14,,20020.0,+39 0296661347,+39 0296460215,spceriano@tiscali.it,,45.6286853,9.0801635
Biblioteca comunale Lino Penati,Pubblica,Comune di Cernusco sul Naviglio,Comune,Via Cavour 51,,20063.0,+39 029278300,+39 029278304,biblioteca@comune.cernuscosulnaviglio.mi.it,,45.5232737,9.3329914
Biblioteca comunale,Pubblica,Comune di Cerro al Lambro,Comune,Via Marcolini 6,,20070.0,+39 029820401,+39 0298233347,cerro@bibliomilanoest.it,http://www.bibliomilanoest.it,45.3287463,9.3403249
Biblioteca comunale,Importante non specializzata,Comune di Cesano Boscone,Comune,Via Dante Alighieri 47,,20090.0,+39 0248694400,+39 0248600220,biblioteca@comune.cesano-boscone.mi.it,http://www.comune.cesano-boscone.mi.it,45.4265124,9.1189885
Biblioteca comunale Vincenzo Pappalettera,Importante non specializzata,Comune di Cesano Maderno,Comune,Via Borromeo 5,,20031.0,+39 0362513498,+39 0362506708,cesanobiblioteca@cesano.com,,45.630333,9.145944
Biblioteca civica Giacinto Di Leo,Pubblica,Comune di Cesate,Comune,Via Donizetti 30,,20020.0,+39 029940148,+39 0299066718,bibliotaca.cesate@csbno.net,http://www.csbno.net,,
Biblioteca comunale Alessandro Manzoni,Importante non specializzata,Comune di Cogliate,Comune,Via Rimembranze 13,,20020.0,+39 0296460672,+39 0296460765,biblioteca.cogliate@tiscali.it,,45.647949,9.0787882
Biblioteca comunale,Importante non specializzata,Comune di Cornate d'Adda,Comune,Via A. Manzoni 2,,20040.0,+39 0396282726,+39 0396926119,bibcornate@sbv.mi.it,http://www.sbv.mi.it/cornate/biblioteca,45.6173598,9.4591465
Biblioteca comunale,Importante non specializzata,Comune di Cuggiono,Comune,Piazza XXV Aprile,,20012.0,+39 0297240624,+39 0297240569,cuggiono@bibliocastanese.it,http://www.bibliocastanese.it,45.504525,8.81597
Biblioteca comunale Ferruccio Maraspin,Importante non specializzata,Comune di Cusano Milanino,Comune,Viale G. Matteotti 37,,20095.0,+39 0261903332,+39 026133555,,http://www.csbno.net,45.5500268,9.1793485
Biblioteca comunale Leonardo da Vinci,Pubblica,Comune di Dairago,Comune,Via D. Chiesa 14,,20020.0,+39 0331433733,+39 0331433733,biblioteca.dairago@csbno.net,http://www.csbno.net,45.5456811,8.888793
Biblioteca comunale,Importante non specializzata,Comune di Desio,Comune,Via Cavalieri di Vittorio Veneto 2,,20033.0,+39 0362392317,+39 0362331072,biblioteca.desio@tuttopmi.it,,45.6163538,9.216916
Biblioteca comunale,Pubblica,Comune di Dresano,Comune,Via dei Giardini,,20070.0,+39 0298170058,+39 0298270288,dresano@bibliomilanoest.it,http://www.bibliomilanoest.it,45.3737727,9.3560844
Biblioteca medica dell'Azienda ospedaliera Ospedale G. Salvini,Specializzata,Azienda ospedaliera Ospedale G. Salvini,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Viale Forlanini 121,,20024.0,+39 0299513246,+39 0299513065,,,45.5802464,9.0872382
Biblioteca comunale,Importante non specializzata,Comune di Gessate,Comune,Piazza del Municipio,,20060.0,+39 0295929955,+39 0295382853,bibliogessate@yahoo.com,,45.5537,9.435235
Biblioteca comunale don Rinaldo Beretta,Importante non specializzata,Comune di Giussano,Comune,Via Addolorata 32,,20034.0,+39 0362851172,+39 0362352214,bibliotecagiussano@sbb.seregno.com,http://www.bibliotechebrianza.it,45.7004917,9.2075445
Biblioteca comunale,Importante non specializzata,Comune di Gorgonzola,Comune,Via Montenero 30,,20064.0,+39 029570237,+39 029515698,gorgonzola@bibliomilanoest.it,http://www.bibliomilanoest.it,45.5521965,9.3843092
Mediateca comunale,Pubblica,Comune di Grezzago,Comune,Via Roma 10,,20056.0,+39 0292010139,+39 0290967015,bibgrezzago@sbv.mi.it,,45.5913954,9.4944698
Biblioteca comunale,Pubblica,Comune di Gudo Visconti,Comune,Via Montegrappa,,20088.0,+39 0294943265,+39 029440145,bib.gudo@tiscali.it,,45.372771,8.99822
Biblioteca comunale,Importante non specializzata,Comune di Inzago,Comune,Via Cavour 8,,20065.0,+39 029548795,+39 0295314071,,http://www.bibliomilanoest.it,,
Biblioteca comunale,Importante non specializzata,Comune di Lacchiarella,Comune,Via Friuli 2,,20084.0,+39 0290076589,+39 0290076622,biblioteca.lacchiarella@sbiroz.it,http://www.sbiroz.it,45.323929,9.13486
Biblioteca comunale,Pubblica,Comune di Lazzate,Comune,Piazza Lombardia 1,,20020.0,+39 0296721145,+39 0296720617,biblioteca.lazzate@tiscali.it,http://www.lazzate.it,45.6698312,9.0853342
Biblioteca comunale Augusto Marinoni,Importante non specializzata,Comune di Legnano,Comune,Via Cavour 3/4,,20025.0,+39 0331471332,+39 0331471343,biblioteca.legnano@csbno.net,http://www.legnano.org,45.5999022,8.9136444
Biblioteca comunale,Importante non specializzata,Comune di Lentate sul Seveso,Comune,Via Monte Santo 2,,20030.0,+39 0362556288,+39 0362556288,lentate@sbb.seregno.com,http://www.bibliotechebrianza.it,45.66868,9.12937
Biblioteca comunale,Importante non specializzata,Comune di Lesmo,Comune,Via G. Marconi 30,,20050.0,+39 0396980452,+39 0396981008,biblesmo@sbv.mi.it,http://www.sbv.mi.it/lesmo/biblioteca,45.6479445,9.3078453
Biblioteca comunale,Importante non specializzata,Comune di Limbiate,Comune,Via Dante Alighieri 38,,20051.0,+39 029963188,+39 029967813,biblioteca.limbiate@csbno.net,http://www.csbno.net,45.6011146,9.1196915
Biblioteca civica,Importante non specializzata,Comune di Lissone,Comune,Piazza IV Novembre 2,,20035.0,+39 0397397461,+39 0367397281,biblioteca@comune.lissone.mi.it,http://www.comune.lissone.mi.it,45.61011,9.242625
